year,crop_code,crop_name,gross_value_survey_usd_ac,operating_cost_usd_ac,return_above_operating_survey_usd_ac,total_production_cost_usd_ac,return_above_total_survey_usd_ac,price_usd_bu,survey_yield_bu_ac
1995,WT,Wheat,134.6736,93.36,41.3135999999999,170.03,-35.3564,4.08,31.92
1996,MZ,Maize,369.93,160.95,208.98,353.94,15.99,2.82,130
1996,SB,Soybean,256.361,126.8,129.561,233.77,22.591,6.91,37.1
1996,SG,Sorghum,170.1,75.27,94.83,200.69,-30.59,2.7,63
1996,WT,Wheat,152.2924,95.46,56.8323999999999,180.48,-28.1876,4.84,30.36
1997,MZ,Maize,331.37,162.25,169.12,363.73,-32.36,2.52,130
1997,SB,Soybean,281.22,79.47,199.31,245.83,32.94,6.54,43
1997,SG,Sorghum,153.43,76.31,77.12,201.57,-48.14,2.29,67
1997,WT,Wheat,130.821,97.65,33.1709999999999,180.27,-49.449,3.49,35.9
1998,MZ,Maize,262.88,157.71,105.17,362.86,-99.98,1.91,136
1998,SB,Soybean,223.17,79.32,143.85,247.56,-24.39,5.19,43
1998,SG,Sorghum,107.59,74.07,33.52,194.36,-86.77,2.03,53
1998,WT,Wheat,114.27,57.41,56.86,165.19,-50.92,2.68,41
1999,MZ,Maize,230.7,156.92,73.78,364.73,-134.03,1.69,135
1999,SB,Soybean,178,76.33,101.67,249.02,-71.02,4.45,40
1999,SG,Sorghum,96.66,76.98,19.68,191.91,-95.25,1.79,54
1999,WT,Wheat,98.78,54.82,43.96,166.15,-67.37,2.48,39
2000,MZ,Maize,246.67,164.99,81.68,378.32,-131.65,1.77,138
2000,SB,Soybean,182.45,77.28,105.17,254.1,-71.65,4.45,41
2000,SG,Sorghum,88.62,80.95,7.67,195.19,-106.57,2.11,42
2000,WT,Wheat,95.7,58.38,37.32,173.86,-78.16,2.46,38
2001,MZ,Maize,266.92,162.3,104.62,348.53,-81.61,1.84,144
2001,SB,Soybean,178.62,81.83,96.79,264.08,-85.46,4.15,43
2001,SG,Sorghum,93.86,92.26,1.6,208.83,-114.97,2.47,38
2001,WT,Wheat,98.4,64.94,33.46,183.34,-84.94,2.76,35
2002,MZ,Maize,312.82,145.48,167.34,334.31,-21.49,2.32,134
2002,SB,Soybean,208,73.5,134.5,232,-24,5.2,40
2002,SG,Sorghum,95.37,80.4,14.97,202.66,-107.29,2.89,33
2002,WT,Wheat,95.17,57.07,38.1,175.63,-80.46,3.28,28
2003,MZ,Maize,319.62,161.16,158.46,354.41,-34.79,2.13,149
2003,SB,Soybean,233.47,77.66,155.81,238.49,-5.02,6.56,36
2003,SG,Sorghum,110.55,86.39,24.16,215.83,-105.28,2.25,47
2003,WT,Wheat,130.02,67.68,62.34,191.12,-61.1,3.11,41
