site_id,latitude,longitude,grid_site_status
37_2083N_096_9583W,37.2083,-96.9583,observed_grid_site
37_2083N_096_8750W,37.2083,-96.875,observed_grid_site
37_2083N_096_7917W,37.2083,-96.7917,observed_grid_site
37_2083N_096_7083W,37.2083,-96.7083,observed_grid_site
37_2083N_096_6250W,37.2083,-96.625,observed_grid_site
37_2083N_096_5417W,37.2083,-96.5417,observed_grid_site
37_2083N_096_4583W,37.2083,-96.4583,observed_grid_site
37_2083N_096_3750W,37.2083,-96.375,observed_grid_site
37_2083N_096_2917W,37.2083,-96.2917,observed_grid_site
37_2083N_096_2083W,37.2083,-96.2083,observed_grid_site
37_2083N_096_1250W,37.2083,-96.125,observed_grid_site
37_2083N_096_0417W,37.2083,-96.0417,observed_grid_site
37_2083N_095_9583W,37.2083,-95.9583,observed_grid_site
37_2083N_095_8750W,37.2083,-95.875,observed_grid_site
37_2083N_095_7917W,37.2083,-95.7917,observed_grid_site
37_2083N_095_7083W,37.2083,-95.7083,observed_grid_site
37_2083N_095_6250W,37.2083,-95.625,observed_grid_site
37_2083N_095_5417W,37.2083,-95.5417,observed_grid_site
37_2083N_095_4583W,37.2083,-95.4583,observed_grid_site
37_2083N_095_3750W,37.2083,-95.375,observed_grid_site
37_2083N_095_2917W,37.2083,-95.2917,observed_grid_site
37_2083N_095_2083W,37.2083,-95.2083,observed_grid_site
37_2083N_095_1250W,37.2083,-95.125,observed_grid_site
37_2083N_095_0417W,37.2083,-95.0417,observed_grid_site
37_2083N_094_9583W,37.2083,-94.9583,observed_grid_site
37_2083N_094_8750W,37.2083,-94.875,observed_grid_site
37_2083N_094_7917W,37.2083,-94.7917,observed_grid_site
37_2083N_094_7083W,37.2083,-94.7083,observed_grid_site
37_2083N_094_6250W,37.2083,-94.625,observed_grid_site
FILL_37_2916N_102_0417W,37.2916,-102.0417,restored_grid_site
FILL_37_2916N_101_9584W,37.2916,-101.9584,restored_grid_site
FILL_37_2916N_101_8751W,37.2916,-101.8751,restored_grid_site
FILL_37_2916N_101_7918W,37.2916,-101.7918,restored_grid_site
FILL_37_2916N_101_7085W,37.2916,-101.7085,restored_grid_site
FILL_37_2916N_101_6252W,37.2916,-101.6252,restored_grid_site
FILL_37_2916N_101_5419W,37.2916,-101.5419,restored_grid_site
FILL_37_2916N_101_4586W,37.2916,-101.4586,restored_grid_site
FILL_37_2916N_101_3753W,37.2916,-101.3753,restored_grid_site
